Row,Anterior Area(um^2),Anterior BB#,Medial Area(um^2),Medial BB#,Posterior Area(um^2),Posterior BB#,Cell surface area(um^2),Assigned BB#,Ciliary row#,Avergae number of BBs per row,Cell height(um),Cell major widths(um),Cell minor widths(um),Horizontal section perimeter(um),Cell volume(um^3),VolumeDeficit,Anterior neighbor BB pairwise distance(um),Medial neighbor BB pairwise distance(um),Posterior neighbor BB pairwise distance(um),Anterior row pairwise distance(um),Medial row pairwise distance(um),Posterior row pairwise distance(um),Mean of ciliary row lengths,STD of ciliary row lengths,Posterior immature BB#,Posterior medial immature BB#,Anterior medial immature BB#,Anterior immature BB#
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 18,309.884708,127,953.935627,192,383.405324,92,1647.225659,402,20,20.1,34.173,22.848,12.386,57.15575644,4877.24,0.037,1.249,1.824,2.208,1.702,2.457,1.759,32.623,6.151,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 19,420.010848,152,1385.440058,255,531.712407,98,2337.163313,501,19,26.368,42.375,26.792,15.61,67.5386079,8487.51,0.085,1.377,1.692,2.045,1.71,3.112,2.743,41.508,4.658,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 2,484.456196,145,1477.894186,323,530.124706,111,2492.475088,572,19,30.105,45.987,26.774,13.704,66.33340678,8718.796,0.013,1.601,1.507,1.996,1.864,3.112,2.36,44.972,5.083,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 20,441.30625,170,1277.507222,195,491.985734,87,2210.799206,441,20,22.05,36.839,27.1,17.137,70.68361474,8488.944,0.052,1.185,2,2.94,1.831,3.083,2.545,36.692,7.105,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 21,633.654435,182,1717.747048,322,687.589199,142,3038.990682,638,19,33.579,47.277,30.946,15.059,75.62546122,11533.101,0,1.538,1.495,1.679,2.138,3.299,2.65,49.23,4.942,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 22,434.923846,150,1404.306147,217,568.528322,82,2407.758315,441,19,23.211,41.793,27.589,16.095,69.4723902,9030.547,0.071,1.58,1.996,2.464,1.865,3.24,2.622,41.436,5.176,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 23,406.740396,155,1140.955712,198,398.523946,79,1946.220054,428,20,21.4,36.836,26.402,11.903,63.61168981,6004.883,0.009,1.307,1.957,2.296,1.572,2.777,1.935,35.974,5.061,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 24,412.204832,143,1155.342731,206,457.203618,90,2024.751181,430,21,20.476,39.044,25.102,11.779,61.13131121,6209.004,-0.027,1.406,2.105,2.531,1.792,2.42,1.954,36.391,7.484,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 25,541.344227,164,1533.571963,252,572.242386,95,2647.158576,497,19,26.158,41.794,31.538,14.682,75.4569823,9708.405,0.042,1.448,1.69,2.286,2.101,3.448,2.58,41.643,7.738,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 26,409.062797,134,1149.219265,196,447.878919,86,2006.160981,415,19,21.842,37.56,25.526,13.752,62.97901135,6661.378,0.035,1.369,1.912,2.22,2.116,2.916,2.204,37.017,5.044,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 28,406.234828,154,1478.265192,214,537.126048,83,2421.626068,441,19,23.211,44.677,27.801,14.598,68.13045372,8544.279,0.1,1.518,2.193,2.343,1.756,3.102,2.529,42.151,4.025,0,0,0,0
